title,date_announced,company_name,reference_number,url,assigned_category,sub_category
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : OTHER ISSUE OF SECURITIES CAPITALAND MALAYSIA MALL TRUST (""CMMT"")
DISTRIBUTION REINVESTMENT PLAN WHICH WILL PROVIDE UNITHOLDERS OF CMMT WITH AN OPTION TO ELECT TO REINVEST THEIR CASH DISTRIBUTION IN NEW UNITS OF CMMT (""DRP"")",15/9/2020,CAPITALAND MALAYSIA MALL TRUST,GA1-15092020-00093,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088279,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) : NON RELATED PARTY TRANSACTIONS REVENUE GROUP BERHAD (REVENUE OR COMPANY)
(I) ACQUISITION BY REVENUE HARVEST SDN BHD (REVENUE HARVEST), A WHOLLY-OWNED SUBSIDIARY OF REVENUE, OF 51.0% EQUITY INTEREST IN BUYMALL SERVICES SDN BHD (BUYMALL) FOR A TOTAL PURCHASE CONSIDERATION OF RM3,315,000 (ACQUISITION OF BUYMALL); AND
(II)	ACQUISITION BY REVENUE HARVEST OF 70.0% EQUITY INTEREST IN ANYPAY SDN BHD (ANYPAY) FOR A TOTAL PURCHASE CONSIDERATION OF RM4,900,000 (ACQUISITION OF ANYPAY)
(COLLECTIVELY KNOWN AS ACQUISITIONS)",15/9/2020,REVENUE GROUP BERHAD,GA1-15092020-00073,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088282,General Announcement,Transactions (Chapter 10 of Listing Requirements)
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING PRICEWORTH INTERNATIONAL BERHAD (""PWI"" OR THE ""COMPANY"")
PRIVATE PLACEMENT OF NEW ORDINARY SHARES IN PWI (""PWI SHARES"" OR ""SHARES"") (""PLACEMENT SHARES"") OF UP TO 10% OF THE TOTAL NUMBER OF ISSUED SHARES OF PWI (EXCLUDING TREASURY SHARES, IF ANY) (""PRIVATE PLACEMENT"")",15/9/2020,PRICEWORTH INTERNATIONAL BERHAD,GA1-10092020-00016,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088286,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"OTHERS MQ TECHNOLOGY BERHAD (MQ TECH OR THE COMPANY)
INVESTMENT AND COLLABORATION JOINT VENTURE AGREEMENT",15/9/2020,MQ TECHNOLOGY BERHAD,GA1-15092020-00086,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088304,General Announcement,OTHERS
Letter Subject or Reference - UNUSUAL MARKET ACTIVITY,15/9/2020,PARLO BERHAD,GA1-15092020-00058,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088325,Unusual Market Activity,Reply to UMA Query
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING SASBADI HOLDINGS BERHAD (""SASBADI HOLDINGS"" OR ""COMPANY"")
PROPOSED PRIVATE PLACEMENT OF UP TO 42,909,850 NEW ORDINARY SHARES IN SASBADI HOLDINGS (""SASBADI HOLDINGS SHARE(S)"" OR ""SHARE(S)"") (""PLACEMENT SHARE(S)""), REPRESENTING TEN PERCENT (10%) OF THE TOTAL NUMBER OF ISSUED SHARES (EXCLUDING TREASURY SHARES) OF SASBADI HOLDINGS (""PROPOSED PRIVATE PLACEMENT"")",15/9/2020,SASBADI HOLDINGS BERHAD,GA1-15092020-00070,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088348,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
PRACTICE NOTE 17 / GUIDANCE NOTE 3 : OTHERS,15/9/2020,DAYA MATERIALS BERHAD,GA1-15092020-00029,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088349,General Announcement,OTHERS
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING UCrest Berhad (""UCrest"" or ""Company"") and its subsidiary companies (""UCrest Group"" or ""Group"")
-	Proposed Private Placement",15/9/2020,UCREST BERHAD,GA1-15092020-00106,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088392,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"OTHERS (I)	PROPOSED RENEWAL OF EXISTING SHARE BUY-BACK AUTHORITY
(II)	PROPOSED RENEWAL OF SHAREHOLDERS MANDATE FOR RECURRENT RELATED PARTY TRANSACTIONS
OF A REVENUE OR TRADING NATURE",15/9/2020,IOI CORPORATION BERHAD,GA1-12092019-00038,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088408,General Announcement,OTHERS
"OTHERS GREEN PACKET BERHAD (GREEN PACKET OR THE COMPANY)
TERM SHEET IN RELATION TO THE PROPOSED ACQUISITION OF 100% STAKE IN XENDITY PTE LTD (""PROPOSED ACQUISITION"")",15/9/2020,GREEN PACKET BERHAD,GA1-15092020-00103,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088409,General Announcement,OTHERS
"MULTIPLE PROPOSALS NI HSIN RESOURCES BERHAD (""NI HSIN"" OR ""COMPANY"")
(I)	PROPOSED RIGHTS ISSUE OF RCPS;
(II)	PROPOSED DIVERSIFICATION; AND
(III)	PROPOSED AMENDMENTS
(COLLECTIVELY REFERRED TO AS THE ""PROPOSALS"")",15/9/2020,NI HSIN RESOURCES BERHAD,GA1-15092020-00094,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088418,General Announcement,Multiple Proposals
"OTHERS BRAHIMS HOLDINGS BERHAD (""BRAHIMS"" OR ""THE COMPANY"")
HEADS OF AGREEMENT BETWEEN BRAHIMS AND MRI VC BERHAD",15/9/2020,BRAHIM'S HOLDINGS BERHAD,GA1-15092020-00115,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088439,General Announcement,OTHERS
"OTHERS INDUSTRONICS BERHAD (ITRONIC OR THE COMPANY)
- Acquisition of a new subsidiary, All Best Group Limited (Incorporated in Hong Kong)",15/9/2020,INDUSTRONICS BERHAD,GA1-15092020-00076,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088445,General Announcement,OTHERS
NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING PROPOSED PRIVATE PLACEMENT,15/9/2020,BINTAI KINDEN CORPORATION BERHAD,GA1-15092020-00113,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088448,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
Letter Subject or Reference - UNUSUAL MARKET ACTIVITY,15/9/2020,MALTON BERHAD,GA1-15092020-00087,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088466,Unusual Market Activity,Reply to UMA Query
"OTHERS ECOFIRST CONSOLIDATED BHD (""ECB"" OR ""THE COMPANY"")
(I) PROPOSED RENEWAL OF SHAREHOLDERS' MANDATE FOR RECURRENT RELATED PARTY TRANSACTIONS OF A REVENUE OR TRADING NATURE
(II) PROPOSED RENEWAL OF SHARE BUY-BACK AUTHORITY",15/9/2020,ECOFIRST CONSOLIDATED BHD,GA1-09092020-00040,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088469,General Announcement,OTHERS
"OTHERS AirAsia X Berhad (""AAX"" or ""the Company"")
- Extension of the Shareholders' Benefit Programme and AGM 2019 Complimentary Flight Vouchers",15/9/2020,AIRASIA X BERHAD,GA1-15092020-00038,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088474,General Announcement,OTHERS
"OTHERS M N C WIRELESS BERHAD (""MNC"" OR ""COMPANY"")
- OFFER AND GRANT OF OPTIONS UNDER EMPLOYEES SHARE OPTION SCHEME (""ESOS"") OF THE COMPANY",15/9/2020,M N C WIRELESS BERHAD,GA1-15092020-00089,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088475,General Announcement,OTHERS
"STATUS OF PRESTARIANG SYSTEMS SDN BHD AS A CHANNEL PARTNER OF MICROSOFT REGIONAL SALES PTE. LTD. (""MICROSOFT"")",15/9/2020,PRESTARIANG BERHAD,GA1-15092020-00090,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088487,Reply to Query,-
"TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) : NON RELATED PARTY TRANSACTIONS KOSSAN RUBBER INDUSTRIES BHD. (""KOSSAN"" OR ""COMPANY"") PROPOSED DISPOSAL BY IDEAL QUALITY SDN. BHD. (199601032612(404964-P)) (""IQ"" OR ""VENDOR""), A WHOLLY-OWNED SUBSIDIARY OF KOSSAN, OF THE VACANT FREEHOLD INDUSTRIAL LAND TO BEST ETERNITY RECYCLE TECHNOLOGY SDN. BHD. (201801017328 (1279344-A)) (""BERT"" OR ""PURCHASER"") FOR A TOTAL CASH CONSIDERATION OF RM153,380,091.00) (""PROPOSED DISPOSAL"")",15/9/2020,KOSSAN RUBBER INDUSTRIES BERHAD,GA1-15092020-00116,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088496,General Announcement,Transactions (Chapter 10 of Listing Requirements)
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING MACPIE BERHAD (""MACPIE"" OR THE ""COMPANY"")
PROPOSED PRIVATE PLACEMENT OF NEW ORDINARY SHARES IN MACPIE (""MACPIE SHARES""), REPRESENTING NOT MORE THAN 10% OF THE ENLARGED NUMBER OF MACPIE SHARES IN ISSUE (EXCLUDING ANY TREASURY SHARES) (""PROPOSED PRIVATE PLACEMENT"")",15/9/2020,MACPIE BERHAD,GA1-15092020-00124,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088519,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"MEMORANDUM OF UNDERSTANDING MEMORANDUM OF UNDERSTANDING ENTERED INTO BETWEEN GIVNFLOW CO. LTD (VIETNAM) (""GIVNFLOW"" OR ""SELLER""), A WHOLLY-OWNED SUBSIDIARY OF GIM TRIPLE SEVEN SDN BHD (""GTS""), WHICH IN TURN IS A WHOLLY-OWNED SUBSIDIARY OF GREENYIELD BERHAD (""GREENYIELD"" OR ""THE COMPANY""), AND SNP CO. LTD (""SNP"" OR ""BUYER"")",17/9/2020,GREENYIELD BERHAD,GA1-10092020-00006,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088662,General Announcement,Memorandum of Understanding
"OTHERS PROPOSED ISSUANCE OF ISLAMIC MEDIUM TERM NOTES (""SUKUK MURABAHAH"") PURSUANT TO AN ISLAMIC MEDIUM TERM NOTES PROGRAMME OF UP TO RM3.0 BILLION IN NOMINAL VALUE BASED ON THE SHARIAH PRINCIPLE OF MURABAHAH (VIA TAWARRUQ ARRANGEMENT) (""SUKUK MURABAHAH PROGRAMME"") BY PENGERANG LNG (TWO) SDN BHD",17/9/2020,PETRONAS GAS BERHAD,GA1-17092020-00010,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088671,General Announcement,OTHERS
"OTHERS Top Glove Corporation Bhd (""Top Glove"" or ""the Company"")
Proposed Renewal of Share Buy-Back Authority",17/9/2020,TOP GLOVE CORPORATION BHD,GA1-13092020-00001,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088676,General Announcement,OTHERS
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING OCEANCASH PACIFIC BERHAD (""OCEANCASH"" OR THE ""COMPANY"")
PLACEMENT OF UP TO 24,500,000 NEW ORDINARY SHARES IN OCEANCASH (""PLACEMENT"")",17/9/2020,OCEANCASH PACIFIC BERHAD,GA1-17092020-00015,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088734,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
OTHERS DECLARATION OF AN INTERIM CASH DIVIDEND FOR THE FINANCIAL YEAR ENDING 31 MARCH 2021,17/9/2020,MNRB HOLDINGS BERHAD,GA1-14092020-00114,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088747,General Announcement,OTHERS
"MEMORANDUM OF UNDERSTANDING MILUX CORPORATION BERHAD ('MILUX' OR 'THE COMPANY')
- TERMINATION OF MEMORANDUM OF UNDERSTANDING ('MOU') FOR COLLABORATION BETWEEN THE COMPANY AND PETROFAC
ENGINEERING SERVICES (MALAYSIA) SDN. BHD.",17/9/2020,MILUX CORPORATION BERHAD,GA1-15092020-00031,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088782,General Announcement,Memorandum of Understanding
"NEW ISSUE OF SECURITIES (CHAPTER 6 OF LISTING REQUIREMENTS) : FUND RAISING ALAM MARITIM RESOURCES BERHAD (""AMRB"" OR THE ""COMPANY"")
I.	PROPOSED PRIVATE PLACEMENT I; AND
II.	PROPOSED PRIVATE PLACEMENT II
(COLLECTIVELY REFERRED TO AS THE ""PROPOSALS"")",17/9/2020,ALAM MARITIM RESOURCES BERHAD,GA1-17092020-00058,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088794,General Announcement,New Issue of Securities (Chapter 6 of listing requirements)
"TRANSACTIONS (CHAPTER 10 OF LISTING REQUIREMENTS) : RELATED PARTY TRANSACTIONS OLYMPIA INDUSTRIES BERHAD (""Olympia"" or the ""Company"")
Execution of Sale and Purchase Agreement with KH Estates Sdn Bhd (""KHE"") for the sale of a condominium unit for a total cash consideration of RM3,100,000 (""Property Disposal"")",17/9/2020,OLYMPIA INDUSTRIES BERHAD,GA1-11092020-00013,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088808,General Announcement,Transactions (Chapter 10 of Listing Requirements)
OTHERS TENAGA NASIONAL BERHAD TAKES CONTROL OF ONE OF THE LARGEST SOLAR PLATFORM IN THE UNITED KINGDOM,17/9/2020,TENAGA NASIONAL BHD,GA1-17092020-00017,https://disclosure.bursamalaysia.com/FileAccess/viewHtml/?e=3088813,General Announcement,OTHERS
